"state","communityname","PctLess9thGrade","PctNotHSGrad","PctBSorMore"
47,"Kingsportcity",0.58,0.56,0.32
12,"WiltonManorscity",0.19,0.33,0.24
18,"MichiganCitycity",0.33,0.54,0.13
25,"EastBridgewatertown",0.11,0.27,0.25
6,"Pittsburgcity",0.36,0.4,0.22
1,"PhenixCitycity",0.64,0.72,0.15
9,"Stratfordtown",0.31,0.38,0.33
9,"Plainfieldtown",0.43,0.54,0.1
38,"Bismarckcity",0.37,0.27,0.42
48,"Stephenvillecity",0.3,0.4,0.44
25,"Dennistown",0.07,0.18,0.4
42,"Dunmoreborough",0.33,0.45,0.29
8,"Englewoodcity",0.19,0.33,0.3
34,"Carteretborough",0.45,0.53,0.13
48,"LaMarquecity",0.33,0.46,0.18
34,"LongBranchcity",0.37,0.49,0.31
33,"Bedfordtown",0.16,0.15,0.7
48,"Greenvillecity",0.4,0.54,0.29
25,"Westporttown",0.53,0.54,0.29
34,"Lowertownship",0.35,0.61,0.13
51,"Williamsburgcity",0.24,0.26,0.7
42,"UpperAllentownship",0.15,0.16,0.53
42,"Allentowncity",0.4,0.53,0.23
39,"Libertytownship",0.25,0.4,0.27
34,"Sayrevilleborough",0.3,0.37,0.26
6,"LongBeachcity",0.39,0.42,0.37
34,"Montvilletownship",0.14,0.18,0.62
6,"Fillmorecity",0.88,0.77,0.12
53,"Vancouvercity",0.25,0.33,0.23
39,"Delawarecity",0.22,0.34,0.32
1,"FortPaynecity",0.62,0.72,0.16
1,"Northportcity",0.36,0.46,0.37
13,"Daltoncity",0.71,0.67,0.31
40,"Bethanycity",0.17,0.35,0.31
6,"BeverlyHillscity",0.12,0.16,0.77
48,"Baytowncity",0.44,0.5,0.22
39,"Zanesvillecity",0.38,0.67,0.13
34,"MountLaureltownship",0.09,0.15,0.6
25,"Belmonttown",0.1,0.12,0.9
29,"Arnoldcity",0.45,0.49,0.13
34,"Gloucestertownship",0.19,0.31,0.29
34,"Bayonnecity",0.39,0.52,0.25
39,"Cantoncity",0.36,0.58,0.14
34,"NorthPlainfieldborough",0.26,0.27,0.45
36,"NiagaraFallscity",0.4,0.56,0.14
37,"Monroecity",0.5,0.61,0.22
6,"Sangercity",1,0.91,0.09
39,"Brooklyncity",0.27,0.51,0.11
6,"Ukiahcity",0.26,0.4,0.21
21,"Georgetowncity",0.54,0.56,0.21
40,"Duncancity",0.4,0.47,0.28
23,"Biddefordcity",0.66,0.58,0.15
48,"Killeencity",0.17,0.23,0.22
6,"Antiochcity",0.19,0.29,0.22
4,"Nogalescity",1,0.92,0.11
19,"Oskaloosacity",0.49,0.42,0.24
47,"Hendersonvillecity",0.18,0.27,0.33
34,"Glassboroborough",0.29,0.41,0.34
6,"SanGabrielcity",0.51,0.5,0.34
39,"HuberHeightscity",0.14,0.26,0.28
48,"Hurstcity",0.11,0.22,0.35
34,"Westfieldtown",0.13,0.13,0.88
34,"AtlanticCitycity",0.55,0.74,0.13
48,"Palestinecity",0.42,0.5,0.21
42,"Haverfordtownship",0.15,0.2,0.61
49,"Provocity",0.08,0.15,0.56
39,"Westervillecity",0.08,0.12,0.65
9,"WestHaventown",0.29,0.44,0.26
48,"Portlandcity",0.1,0.19,0.38
34,"Dovertownship",0.24,0.36,0.32
39,"Perkinstownship",0.31,0.39,0.25
25,"Harvardtown",0.02,0.02,0.69
36,"NorthTonawandacity",0.25,0.34,0.23
55,"Menashacity",0.3,0.36,0.17
55,"GreenBaycity",0.31,0.32,0.26
53,"Seattlecity",0.17,0.21,0.62
8,"Greeleycity",0.41,0.4,0.4
34,"HasbrouckHeightsborough",0.21,0.34,0.35
53,"Pullmancity",0.04,0.02,1
9,"Cromwelltown",0.19,0.22,0.51
39,"Woostercity",0.22,0.35,0.38
46,"Aberdeencity",0.49,0.38,0.36
39,"Madisontownship",0.16,0.37,0.17
49,"Oremcity",0.08,0.15,0.49
36,"Genevacity",0.33,0.42,0.27
25,"Peabodycity",0.31,0.35,0.33
34,"SaddleBrooktownship",0.28,0.39,0.3
18,"Logansportcity",0.32,0.52,0.09
40,"Mustangcity",0.14,0.28,0.19
1,"Enterprisecity",0.35,0.39,0.37
29,"Fergusoncity",0.31,0.39,0.26
1,"Birminghamcity",0.36,0.53,0.25
41,"Newbergcity",0.26,0.35,0.29
41,"Keizercity",0.24,0.3,0.27
18,"SouthBendcity",0.31,0.48,0.29
42,"Eriecity",0.3,0.48,0.21
48,"Uvaldecity",1,0.87,0.18
48,"CollegeStationcity",0.08,0.08,0.97
29,"Florissantcity",0.27,0.33,0.25
48,"Texarkanacity",0.31,0.52,0.27
13,"Smyrnacity",0.19,0.25,0.55
55,"SunPrairiecity",0.19,0.26,0.33
33,"Hudsontown",0.17,0.24,0.39
13,"Gainesvillecity",0.47,0.55,0.4
6,"LaCanadaFlintridgecity",0.06,0.05,0.9
9,"Glastonburytown",0.11,0.14,0.76
49,"Tooelecity",0.11,0.38,0.16
34,"Englewoodcity",0.27,0.33,0.56
45,"NorthAugustacity",0.2,0.3,0.4
42,"Readingcity",0.55,0.74,0.12
47,"Colliervilletown",0.21,0.28,0.41
34,"Cranfordtownship",0.15,0.2,0.55
8,"Durangocity",0.18,0.26,0.5
34,"Elizabethcity",0.7,0.74,0.17
48,"Brenhamcity",0.7,0.63,0.24
6,"Chinocity",0.39,0.44,0.17
48,"Kilgorecity",0.41,0.46,0.27
6,"MorenoValleycity",0.19,0.3,0.22
39,"Sylvaniacity",0.09,0.12,0.61
6,"SanMarinocity",0.05,0.05,1
53,"OakHarborcity",0.14,0.19,0.27
37,"Jacksonvillecity",0.16,0.25,0.28
48,"Conroecity",0.46,0.52,0.28
48,"Colleyvillecity",0.07,0.09,0.75
16,"Lewistoncity",0.23,0.32,0.25
48,"Brownsvillecity",1,0.98,0.18
42,"Phoenixvilleborough",0.32,0.44,0.29
51,"Fredericksburgcity",0.39,0.45,0.42
12,"Hallandalecity",0.38,0.56,0.21
39,"Mansfieldcity",0.38,0.53,0.19
55,"Milwaukeecity",0.33,0.49,0.22
22,"Pinevillecity",0.43,0.48,0.3
48,"GalenaParkcity",0.88,0.82,0.03
6,"LosBanoscity",0.63,0.65,0.18
4,"Avondalecity",0.96,0.76,0.13
27,"ColumbiaHeightscity",0.26,0.35,0.19
8,"CommerceCitycity",0.47,0.7,0.03
37,"RockyMountcity",0.47,0.58,0.26
6,"MenloParkcity",0.17,0.15,0.9
12,"FortPiercecity",0.63,0.77,0.16
36,"Middletowncity",0.42,0.52,0.24
37,"Morgantoncity",0.62,0.61,0.29
24,"Baltimorecity",0.51,0.69,0.24
34,"Gallowaytownship",0.17,0.3,0.32
12,"Sebastiancity",0.24,0.46,0.14
18,"Greenfieldcity",0.32,0.42,0.19
34,"Fairviewborough",0.61,0.68,0.23
25,"Sandwichtown",0.05,0.11,0.54
48,"Borgercity",0.44,0.54,0.18
1,"Annistoncity",0.48,0.58,0.28
25,"Everettcity",0.32,0.47,0.16
34,"NorthArlingtonborough",0.37,0.46,0.25
21,"Covingtoncity",0.6,0.66,0.14
42,"Springtownship",0.16,0.24,0.44
48,"WhiteSettlementcity",0.31,0.51,0.09
42,"Cranberrytownship",0.06,0.14,0.47
45,"Andersoncity",0.63,0.66,0.26
48,"NewBraunfelscity",0.62,0.55,0.29
6,"Oceansidecity",0.25,0.31,0.29
44,"Westerlytown",0.29,0.42,0.32
6,"Sacramentocity",0.35,0.39,0.37
55,"BrownDeervillage",0.24,0.21,0.49
28,"Meridiancity",0.45,0.55,0.24
23,"Windhamtown",0.14,0.25,0.31
34,"WestPatersonborough",0.43,0.44,0.33
36,"Romecity",0.31,0.44,0.23
9,"RockyHilltown",0.18,0.24,0.51
6,"SouthSanFranciscodivision",0.25,0.3,0.38
8,"GrandJunctioncity",0.28,0.39,0.28
12,"Longwoodcity",0.18,0.29,0.33
47,"Columbiacity",0.54,0.58,0.21
5,"Paragouldcity",0.72,0.7,0.16
39,"Vandaliacity",0.26,0.33,0.25
48,"Galvestoncity",0.47,0.52,0.33
47,"Tullahomacity",0.48,0.45,0.34
1,"Ozarkcity",0.46,0.48,0.22
34,"Irvingtontownship",0.37,0.6,0.17
34,"Ridgewoodvillage",0.08,0.08,0.93
39,"Centervillecity",0.07,0.11,0.66
47,"Brownsvillecity",0.74,0.72,0.17
55,"Manitowoccity",0.44,0.44,0.22
37,"Kannapoliscity",0.7,0.73,0.1
18,"Richmondcity",0.36,0.56,0.19
48,"Wacocity",0.45,0.55,0.26
49,"Springvillecity",0.08,0.23,0.3
29,"Raytowncity",0.15,0.24,0.28
12,"Homesteadcity",0.79,0.79,0.12
51,"FrontRoyaltown",0.67,0.74,0.11
33,"Londonderrytown",0.07,0.12,0.54
13,"Covingtoncity",0.83,0.89,0.12
39,"Beavercreekcity",0.13,0.17,0.6
6,"Commercecity",1,1,0.07
25,"Plymouthtown",0.14,0.26,0.35
53,"Spokanecity",0.19,0.27,0.33
8,"CanonCitycity",0.39,0.43,0.2
34,"SouthOrangeVillagetownship",0.11,0.15,0.87
6,"Millbraecity",0.21,0.26,0.38
39,"GarfieldHeightscity",0.27,0.49,0.12
34,"Bellmawrborough",0.36,0.56,0.11
53,"Everettcity",0.2,0.32,0.21
49,"Sandycity",0.03,0.09,0.47
13,"Romecity",0.61,0.64,0.27
37,"Hickorycity",0.39,0.48,0.37
13,"Dublincity",0.63,0.65,0.26
53,"Aberdeencity",0.31,0.46,0.18
55,"Beloitcity",0.28,0.48,0.16
6,"MontereyParkcity",0.56,0.52,0.35
55,"Marshfieldcity",0.47,0.39,0.31
47,"Shelbyvillecity",0.86,0.79,0.14
12,"Edgewatercity",0.27,0.49,0.11
6,"Temeculacity",0.14,0.19,0.34
21,"Paducahcity",0.5,0.54,0.22
48,"Eulesscity",0.13,0.22,0.41
36,"Yorktowntown",0.15,0.18,0.58
48,"Austincity",0.27,0.29,0.56
53,"Richlandcity",0.1,0.14,0.56
39,"Fairborncity",0.28,0.38,0.33
47,"Morristowncity",0.83,0.76,0.16
34,"Pennsvilletownship",0.3,0.41,0.14
34,"Oaklandborough",0.18,0.18,0.59
28,"Vicksburgcity",0.55,0.66,0.25
25,"Sudburytown",0.04,0.04,1
34,"Waynetownship",0.2,0.23,0.58
53,"Pascocity",0.85,0.75,0.12
35,"Demingcity",0.88,0.79,0.16
9,"Norwalktown",0.27,0.34,0.47
39,"Middletowncity",0.35,0.49,0.19
25,"Ludlowtown",0.54,0.58,0.17
6,"SanBernardinocity",0.43,0.56,0.19
25,"Woburncity",0.14,0.22,0.38
5,"Jonesborocity",0.45,0.46,0.33
34,"Nutleytownship",0.27,0.34,0.45
55,"RiverFallscity",0.27,0.19,0.49
40,"MidwestCitycity",0.17,0.29,0.26
47,"Knoxvillecity",0.43,0.51,0.34
39,"Loraincity",0.39,0.57,0.1
41,"Beavertoncity",0.09,0.12,0.58
48,"Freeportcity",0.74,0.74,0.08
23,"PresqueIslecity",0.44,0.42,0.25
40,"Moorecity",0.14,0.29,0.21
55,"Kenoshacity",0.31,0.46,0.18
39,"Chillicothecity",0.37,0.53,0.21
6,"SantaRosacity",0.17,0.23,0.43
40,"Bartlesvillecity",0.21,0.29,0.51
42,"WestWhitelandtownship",0.07,0.08,0.72
34,"Bellevilletownship",0.37,0.5,0.26
5,"Russellvillecity",0.39,0.47,0.32
8,"Brightoncity",0.42,0.51,0.19
19,"Spencercity",0.21,0.24,0.25
12,"PembrokePinescity",0.17,0.3,0.33
25,"Leominstercity",0.36,0.42,0.3
39,"Columbuscity",0.19,0.36,0.39
5,"Stuttgartcity",0.63,0.61,0.19
36,"Auburncity",0.36,0.55,0.17
35,"Albuquerquecity",0.2,0.26,0.46
13,"Americuscity",0.6,0.67,0.27
36,"Fultoncity",0.3,0.49,0.18
6,"PicoRiveracity",0.76,0.85,0.08
44,"Warrentown",0.49,0.53,0.23
34,"Westwoodborough",0.25,0.28,0.47
8,"Lovelandcity",0.21,0.26,0.29
39,"Toledocity",0.29,0.46,0.21
6,"MorganHillcity",0.2,0.27,0.45
42,"Nanticokecity",0.58,0.68,0.14
45,"Hanahancity",0.24,0.34,0.24
55,"WestBendcity",0.34,0.33,0.25
34,"Burlingtontownship",0.3,0.37,0.23
34,"Lyndhursttownship",0.42,0.52,0.23
37,"NewBerncity",0.45,0.52,0.24
42,"Bensalemtownship",0.16,0.34,0.34
6,"Cypresscity",0.11,0.19,0.42
42,"Lancastertownship",0.35,0.36,0.45
25,"Cantontown",0.11,0.15,0.53
34,"UnionCitycity",0.98,0.88,0.15
6,"SantaFeSpringscity",0.49,0.72,0.09
34,"SouthRiverborough",0.7,0.62,0.19
18,"Merrillvilletown",0.26,0.33,0.23
19,"WestDesMoinescity",0.04,0.06,0.68
36,"Cohoescity",0.53,0.59,0.14
19,"Urbandalecity",0.02,0.04,0.61
41,"ForestGrovecity",0.34,0.41,0.32
6,"Carsoncity",0.44,0.5,0.26
9,"Stamfordtown",0.24,0.31,0.57
34,"EastWindsortownship",0.1,0.13,0.74
37,"Kinstoncity",0.66,0.68,0.23
23,"Sanfordtown",0.44,0.47,0.17
20,"Wichitacity",0.19,0.3,0.36
6,"Montereycity",0.16,0.17,0.65
6,"Belmontcity",0.07,0.12,0.6
34,"AsburyParkcity",0.38,0.54,0.2
18,"Plainfieldtown",0.11,0.25,0.29
34,"WestOrangetownship",0.22,0.27,0.61
1,"Florencecity",0.47,0.52,0.36
6,"LosAngelescity",0.63,0.58,0.36
38,"Minotcity",0.34,0.31,0.33
47,"Clevelandcity",0.64,0.59,0.26
6,"Lakewoodcity",0.18,0.31,0.27
48,"CorpusChristicity",0.52,0.5,0.27
48,"Denisoncity",0.46,0.58,0.16
6,"DiamondBarcity",0.08,0.14,0.6
12,"PalmBeachGardenscity",0.08,0.13,0.62
44,"Cranstoncity",0.29,0.45,0.33
36,"Ithacacity",0.16,0.21,0.82
42,"Whitehalltownship",0.29,0.45,0.25
39,"UniversityHeightscity",0.11,0.13,0.77
42,"LowerAllentownship",0.17,0.28,0.38
25,"Readingtown",0.08,0.11,0.6
18,"Lafayettecity",0.23,0.32,0.34
9,"Ansoniatown",0.38,0.47,0.18
34,"Barnegattownship",0.2,0.35,0.18
34,"CedarGrovetownship",0.23,0.27,0.5
29,"Hannibalcity",0.44,0.55,0.21
36,"Gloversvillecity",0.38,0.59,0.16
34,"CherryHilltownship",0.13,0.19,0.67
9,"Seymourtown",0.3,0.35,0.29
13,"Albanycity",0.48,0.59,0.28
48,"Mercedescity",1,1,0.1
42,"UpperDarbytownship",0.21,0.33,0.34
56,"Laramiecity",0.12,0.15,0.66
40,"Okmulgeecity",0.4,0.54,0.13
42,"Harrisburgcity",0.35,0.57,0.21
47,"Germantowncity",0.01,0.01,0.88
34,"Middlesexborough",0.28,0.36,0.31
9,"NorthHaventown",0.2,0.29,0.42
39,"Massilloncity",0.32,0.53,0.11
36,"WhitePlainscity",0.27,0.33,0.61
25,"Haverhillcity",0.29,0.37,0.33
18,"Elkhartcity",0.29,0.49,0.2
1,"Troycity",0.54,0.57,0.36
36,"NewYorkcity",0.48,0.55,0.36
6,"Monroviacity",0.32,0.38,0.31
36,"Corningcity",0.27,0.36,0.33
6,"PaloAltocity",0.06,0.06,1
12,"Sanfordcity",0.32,0.5,0.18
21,"Erlangercity",0.18,0.29,0.25
54,"Bluefieldcity",0.42,0.51,0.27
18,"Portagecity",0.27,0.44,0.13
36,"Lackawannacity",0.49,0.6,0.14
