"state","communityname","PolicReqPerOffic","PolicPerPop","RacialMatchCommPol","PctPolicWhite","PctPolicBlack","PctPolicHisp","PctPolicAsian","PctPolicMinor","OfficAssgnDrugUnits","NumKindsDrugsSeiz","PolicAveOTWorked","LandArea","PopDens","PctUsePubTrans","PolicCars","PolicOperBudg","LemasPctPolicOnPatr","LemasGangUnitDeploy","LemasPctOfficDrugUn","PolicBudgPerPop","ViolentCrimesPerPop"
42,"Rostravertownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.03,0.05,NA,NA,NA,NA,0,NA,0.03
6,"Modestocity",0.35,0.08,0.8,0.82,0.04,0.19,0.19,0.18,0.05,0.57,0.36,0.09,0.46,0.05,0.09,0.05,0.88,0.5,0.76,0.13,0.34
12,"Jacksonvillecity",0.38,0.16,0.82,0.7,0.45,0.03,0.05,0.33,0.13,0.57,1,1,0.07,0.15,1,0.35,0.73,0,0.31,0.21,0.69
41,"KlamathFallscity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.09,0.06,NA,NA,NA,NA,0,NA,0.21
19,"SiouxCitycity",0.37,0.11,0.84,0.96,0,0,0,0,0.02,0.86,0.29,0.16,0.12,0.07,0.04,0.01,0.81,1,0.56,0.09,0.63
6,"Delanocity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.22,0.02,NA,NA,NA,NA,0,NA,0.31
8,"Goldencity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.15,0.16,NA,NA,NA,NA,0,NA,0.12
6,"Gardenacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.79,0.21,NA,NA,NA,NA,0,NA,0.84
39,"Perrytownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.09,0,NA,NA,NA,NA,0,NA,0.1
54,"Beckleycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.17,0,NA,NA,NA,NA,0,NA,0.49
9,"EastHamptontown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.02,0.08,NA,NA,NA,NA,0,NA,0.02
1,"Cullmancity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.07,0.01,NA,NA,NA,NA,0,NA,0.16
19,"DesMoinescity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.21,0.2,NA,NA,NA,NA,0,NA,0.19
1,"Auburncity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.09,0.01,NA,NA,NA,NA,0,NA,0.15
51,"Lynchburgcity",0.29,0.19,0.61,0.85,0.24,0,0,0.17,0.03,0.5,0.1,0.14,0.11,0.19,0.05,0.01,0.75,0,0.6,0.1,0.31
6,"FosterCitycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.63,0.22,NA,NA,NA,NA,0,NA,0.08
18,"Evansvillecity",0.25,0.17,0.86,0.93,0.1,0,0,0.07,0.03,0.5,0.78,0.12,0.26,0.09,0.09,0.02,0.74,0,0.34,0.07,0.24
6,"LaVernecity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.33,0.1,NA,NA,NA,NA,0,NA,0.11
41,"Woodburncity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.27,0.04,NA,NA,NA,NA,0,NA,0.22
40,"Altuscity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.14,0,NA,NA,NA,NA,0,NA,0.13
34,"Plainsborotownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.1,0.53,NA,NA,NA,NA,0,NA,0.07
34,"LittleEggHarbortownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.02,0.1,NA,NA,NA,NA,0,NA,0.11
44,"EastProvidencecity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.31,0.2,NA,NA,NA,NA,0,NA,0.06
1,"Fairfieldcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.3,0.15,NA,NA,NA,NA,0,NA,0.8
6,"Carlsbadcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.14,0.15,NA,NA,NA,NA,0,NA,0.22
34,"Paramusborough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.2,0.32,NA,NA,NA,NA,0,NA,0.17
8,"FortCollinscity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.18,0.07,NA,NA,NA,NA,0,NA,0.16
34,"Winslowtownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.04,0.34,NA,NA,NA,NA,0,NA,0.2
35,"Artesiacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.11,0.02,NA,NA,NA,NA,0,NA,0.12
8,"Littletoncity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.23,0.14,NA,NA,NA,NA,0,NA,0.11
33,"Claremontcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.03,0.02,NA,NA,NA,NA,0,NA,0.12
18,"Kokomocity",0.31,0.2,0.9,0.87,0.13,0.03,0,0.11,0.03,0.29,0.16,0.04,0.26,0.01,0.03,0.01,0.84,0.5,0.82,0.11,0.2
6,"Riversidecity",0.02,0.39,0.87,0.61,0.2,0.38,0.27,0.41,0.07,0.57,0.38,0.22,0.24,0.09,0.41,0.28,0.19,0.5,0.22,0.51,0.68
34,"Pennsaukentownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.28,0.29,NA,NA,NA,NA,0,NA,0.23
34,"Medfordtownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.04,0.11,NA,NA,NA,NA,0,NA,0.05
39,"Franklincity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.11,0.01,NA,NA,NA,NA,0,NA,0.1
48,"MineralWellscity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.06,0.04,NA,NA,NA,NA,0,NA,0.28
6,"Concordcity",0.41,0.11,0.76,0.91,0.02,0.07,0.26,0.09,0.03,0.64,0.34,0.08,0.32,0.56,0.07,0.03,0.79,1,0.57,0.13,0.22
53,"Centraliacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.17,0.05,NA,NA,NA,NA,0,NA,0.22
1,"Huntsvillecity",0.23,0.16,0.53,0.9,0.14,0.01,0,0.1,0.05,0.5,0.22,0.48,0.08,0,0.25,0.04,0.94,0.5,0.51,0.12,0.55
34,"Manvilleborough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.36,0.07,NA,NA,NA,NA,0,NA,0.05
34,"Hawthorneborough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.42,0.21,NA,NA,NA,NA,0,NA,0.03
51,"Stauntoncity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.1,0.01,NA,NA,NA,NA,0,NA,0.07
41,"LaGrandecity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.24,0,NA,NA,NA,NA,0,NA,0.07
4,"CasaGrandecity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.07,0.04,NA,NA,NA,NA,0,NA,0.57
6,"Banningcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.09,0.02,NA,NA,NA,NA,0,NA,0.37
6,"ManhattanBeachcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.68,0.05,NA,NA,NA,NA,0,NA,0.14
37,"Gastoniacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.15,0.05,NA,NA,NA,NA,0,NA,0.61
34,"Mahwahtownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.06,0.31,NA,NA,NA,NA,0,NA,0.03
34,"PerthAmboycity",0.08,0.28,0.36,0.84,0.04,0.23,0,0.18,0.04,0.79,0.31,0.01,0.73,0.28,0,0.02,0.64,0,1,0.23,0.5
36,"Oneidacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.04,0.06,NA,NA,NA,NA,0,NA,0.05
29,"Chesterfieldcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.11,0.02,NA,NA,NA,NA,0,NA,0.04
6,"Petalumacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.29,0.24,NA,NA,NA,NA,0,NA,0.21
19,"CedarFallscity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.1,0.02,NA,NA,NA,NA,0,NA,0.05
9,"Guilfordtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.03,0.06,NA,NA,NA,NA,0,NA,0.02
9,"Meridentown",0.25,0.19,0.98,0.85,0.11,0.14,0,0.17,0.02,0.21,0.31,0.07,0.21,0.04,0.02,0.01,0.7,1,0.44,0.11,0.14
25,"Yarmouthtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.07,0.05,NA,NA,NA,NA,0,NA,0.18
40,"DelCitycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.26,0.02,NA,NA,NA,NA,0,NA,0.12
48,"PortArthurcity",0.23,0.16,0.29,0.72,0.38,0.07,0,0.31,0.02,0.57,0.3,0.22,0.06,0.06,0.04,0.01,0.91,0.5,0.57,0.12,0.68
8,"Pueblocity",0.4,0.14,0.99,0.68,0,0.52,0,0.35,0.02,0.07,0.1,0.1,0.23,0.06,0.04,0.02,0.78,1,0.31,0.1,0.7
8,"Auroracity",1,0.14,0.75,0.89,0.06,0.09,0.09,0.11,0.08,0.79,0.33,0.39,0.14,0.23,0.18,0.09,0.92,0.5,0.61,0.15,0.75
36,"Yonkerscity",0.12,0.28,0.65,0.88,0.13,0.06,0.04,0.13,0.11,0.64,0.49,0.05,0.87,1,0.21,0.14,0.69,0.5,0.61,0.34,0.3
49,"Ogdencity",0.33,0.13,0.79,0.95,0.02,0.02,0.17,0.05,0,0,0.48,0.07,0.2,0.16,0.1,0.01,0.8,1,0,0.1,0.24
48,"Vernoncity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.12,0.02,NA,NA,NA,NA,0,NA,1
39,"Polandtownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.05,0,NA,NA,NA,NA,0,NA,0
46,"Vermillioncity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.27,0,NA,NA,NA,NA,0,NA,0.03
29,"Carthagecity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.14,0.01,NA,NA,NA,NA,0,NA,0.06
4,"LakeHavasuCitycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.05,0.02,NA,NA,NA,NA,0,NA,0.08
6,"SealBeachcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.18,0.06,NA,NA,NA,NA,0,NA,0.1
41,"Lebanoncity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.19,0.01,NA,NA,NA,NA,0,NA,0.27
6,"Yucaipacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.1,0.01,NA,NA,NA,NA,0,NA,0.15
12,"KeyWestcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.38,0.09,NA,NA,NA,NA,0,NA,0.63
28,"Clintoncity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.08,0.01,NA,NA,NA,NA,0,NA,0.05
44,"EastGreenwichtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.06,0.1,NA,NA,NA,NA,0,NA,0.03
41,"Gladstonecity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.35,0.2,NA,NA,NA,NA,0,NA,0.12
6,"RohnertParkcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.47,0.16,NA,NA,NA,NA,0,NA,0.4
25,"Maldencity",0.11,0.21,0.81,0.97,0.04,0,0,0.03,0.01,0.07,0.33,0.01,0.89,1,0,0.01,0.88,0,0.35,0.09,0.37
6,"Eurekacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.24,0.06,NA,NA,NA,NA,0,NA,0.45
19,"Amescity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.2,0.45,NA,NA,NA,NA,0,NA,0.04
9,"Wolcotttown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.06,0.02,NA,NA,NA,NA,0,NA,0.09
33,"Manchestercity",0.21,0.15,0.95,0.98,0.02,0,0,0.01,0.03,0.43,0.5,0.09,0.25,0.08,0.01,0.02,0.79,0,0.44,0.1,0.09
40,"Lawtoncity",0.66,0.15,0.65,0.79,0.16,0.16,0.13,0.18,0.04,0.43,0.09,0.15,0.13,0,0.09,0.01,0.58,0,0.7,0.09,0.39
34,"Wallingtonborough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.9,0.36,NA,NA,NA,NA,0,NA,0.02
12,"Hollywoodcity",0.2,0.21,0.98,0.79,0.15,0.14,0.13,0.21,0.15,0.79,0.14,0.08,0.37,0.11,0.22,0.08,0.74,0.5,1,0.27,0.34
48,"Amarillocity",0.22,0.13,0.78,0.89,0.04,0.15,0,0.13,0.15,0.79,0,0.25,0.15,0.05,0.11,0.03,0.76,1,1,0.08,0.28
46,"Yanktoncity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.14,0,NA,NA,NA,NA,0,NA,0.08
22,"Bogalusacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.13,0,NA,NA,NA,NA,0,NA,0.44
6,"SanLuisObispocity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.38,0.11,NA,NA,NA,NA,0,NA,0.24
42,"WestGoshentownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.13,0.15,NA,NA,NA,NA,0,NA,0.09
48,"ElCampocity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.15,0,NA,NA,NA,NA,0,NA,0.26
4,"Tucsoncity",0.47,0.15,0.98,0.61,0.08,0.53,0.12,0.42,0.11,0.57,0.3,0.46,0.22,0.24,0.55,0.15,0.81,0.5,0.41,0.14,0.4
12,"BoyntonBeachcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.25,0.06,NA,NA,NA,NA,0,NA,0.56
42,"WestManchestertownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.06,0.05,NA,NA,NA,NA,0,NA,0.05
25,"Eastontown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.06,0.18,NA,NA,NA,NA,0,NA,0.06
6,"SantaClaracity",0.55,0.13,0.62,0.78,0.03,0.14,0.37,0.15,0.02,0.93,0.36,0.05,0.43,0.14,0.08,0.04,0.81,1,0.43,0.22,0.2
6,"Marysvillecity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.29,0.01,NA,NA,NA,NA,0,NA,0.51
34,"WestWindsortownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.05,1,NA,NA,NA,NA,0,NA,0.04
6,"Inglewoodcity",0.22,0.17,0,0.44,0.51,0.29,0.72,0.61,0.04,0.36,0.31,0.02,1,0.42,0.08,0.07,0.8,0.5,0.6,0.27,0.86
42,"Marpletownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.19,0.21,NA,NA,NA,NA,0,NA,0.05
12,"OrmondBeachcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.1,0.04,NA,NA,NA,NA,0,NA,0.06
6,"SantaMonicacity",0.47,0.17,0.82,0.54,0.24,0.43,0.35,0.48,0.02,0.57,0.17,0.02,0.88,0.3,0.05,0.05,0.68,0.5,0.38,0.28,0.68
12,"Davietown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.12,0.03,NA,NA,NA,NA,0,NA,0.22
34,"ScotchPlainstownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.19,0.42,NA,NA,NA,NA,0,NA,0.05
39,"Delhitownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.25,0.18,NA,NA,NA,NA,0,NA,0.03
45,"Mauldincity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.14,0,NA,NA,NA,NA,0,NA,0.09
33,"Keenecity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.05,0,NA,NA,NA,NA,0,NA,0.17
39,"Oregoncity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.05,0.01,NA,NA,NA,NA,0,NA,0.17
42,"LowerPaxtontownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.12,0.08,NA,NA,NA,NA,0,NA,0.17
6,"LomaLindacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.21,0.07,NA,NA,NA,NA,0,NA,0.14
6,"Watsonvillecity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.44,0.11,NA,NA,NA,NA,0,NA,0.62
39,"Dovercity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.2,0.02,NA,NA,NA,NA,0,NA,0.03
28,"Natchezcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.12,0.05,NA,NA,NA,NA,0,NA,0.23
25,"Belchertowntown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.02,0.07,NA,NA,NA,NA,0,NA,0.15
16,"Caldwellcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.17,0.03,NA,NA,NA,NA,0,NA,0.13
6,"LaMiradacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.43,0.04,NA,NA,NA,NA,0,NA,0.27
34,"Cliftoncity",0.56,0.18,0.87,0.98,0,0.04,0,0.02,0.05,0.43,0.05,0.03,0.53,0.32,0.05,0.02,0.75,0,1,0.12,0.08
34,"NewMilfordborough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.58,0.49,NA,NA,NA,NA,0,NA,0.06
25,"Wilbrahamtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.05,0.07,NA,NA,NA,NA,0,NA,0.09
6,"Campbellcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.54,0.13,NA,NA,NA,NA,0,NA,0.16
47,"UnionCitycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.1,0,NA,NA,NA,NA,0,NA,0.38
6,"Orindacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.11,0.66,NA,NA,NA,NA,0,NA,0.02
6,"Folsomcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.12,0.09,NA,NA,NA,NA,0,NA,0.08
33,"Salemtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.09,0.02,NA,NA,NA,NA,0,NA,0.09
5,"WestMemphiscity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.16,0.01,NA,NA,NA,NA,0,NA,0.3
34,"Vernontownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.03,0.07,NA,NA,NA,NA,0,NA,0.05
6,"Cloviscity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.29,0.05,NA,NA,NA,NA,0,NA,0.17
25,"Lowellcity",0.38,0.17,0.74,0.89,0.01,0.16,0,0.07,0.07,0.43,0.39,0.04,0.63,0.16,0,0.02,0.68,0,1,0.12,0.53
22,"BatonRougecity",0.18,0.25,0.48,0.65,0.54,0.02,0,0.39,0.07,0.5,0.27,0.21,0.25,0.11,0.55,0.07,0.42,0.5,0.35,0.13,1
42,"Pottsvillecity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.33,0.05,NA,NA,NA,NA,0,NA,0.05
12,"Bartowcity",0.3,1,0.51,0.85,0.19,0.04,0,0.16,0.18,0.71,0.36,0.02,0.14,0.03,0.47,0.12,0.86,0.5,1,1,0.63
12,"PlantCitycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.09,0,NA,NA,NA,NA,0,NA,1
48,"SanAngelocity",0.46,0.15,0.86,0.76,0.07,0.32,0,0.26,0.07,0.71,0.39,0.14,0.15,0.04,0.1,0.02,0.62,0,1,0.11,0.21
37,"Fayettevillecity",0.49,0.25,0.7,0.53,0.68,0,0.51,0.52,0.01,0.29,0.05,0.12,0.16,0.07,0.16,0.03,0.51,1,0.19,0.15,0.86
39,"Wadsworthcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.16,0.02,NA,NA,NA,NA,0,NA,0.03
44,"Cumberlandtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.09,0.06,NA,NA,NA,NA,0,NA,0.26
12,"LakeCitycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.08,0.01,NA,NA,NA,NA,0,NA,0.87
34,"Passaiccity",0.22,0.22,0.55,0.46,0.48,0.4,0,0.6,0.03,0.29,1,0.01,1,0.7,0.06,0.02,0.86,0,0.7,0.18,0.44
6,"Lafayettecity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.13,0.71,NA,NA,NA,NA,0,NA,0.03
37,"Hendersoncity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.18,0.01,NA,NA,NA,NA,0,NA,0.73
12,"Clearwatercity",0.64,0.21,0.94,0.87,0.16,0.04,0.08,0.13,0.03,0.29,0.65,0.07,0.33,0.09,0.16,0.04,0.82,1,0.37,0.2,0.48
40,"Owassocity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.15,0.01,NA,NA,NA,NA,0,NA,0.06
29,"Rollacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.15,0.01,NA,NA,NA,NA,0,NA,0.07
9,"Branfordtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.1,0.08,NA,NA,NA,NA,0,NA,0.03
25,"Braintreetown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.2,0.44,NA,NA,NA,NA,0,NA,0.17
25,"Dedhamtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.19,0.43,NA,NA,NA,NA,0,NA,0.11
34,"Springfieldtownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.22,0.34,NA,NA,NA,NA,0,NA,0.05
6,"SanDimascity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.17,0.08,NA,NA,NA,NA,0,NA,0.25
51,"Blacksburgtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.15,0.36,NA,NA,NA,NA,0,NA,0.05
48,"Weatherfordcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.08,0.03,NA,NA,NA,NA,0,NA,0.15
37,"Salisburycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.12,0.07,NA,NA,NA,NA,0,NA,0.46
39,"Newarkcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.21,0.03,NA,NA,NA,NA,0,NA,0.45
